unit,time,value,role,group,units
RevPAR_Luxury,2016-03-01,407.33,outcome,class,dollar
RevPAR_Luxury,2016-04-01,358.19,outcome,class,dollar
RevPAR_Luxury,2016-05-01,295.29,outcome,class,dollar
RevPAR_Luxury,2016-06-01,360.66,outcome,class,dollar
RevPAR_Luxury,2016-07-01,406.4,outcome,class,dollar
RevPAR_Luxury,2016-08-01,396.99,outcome,class,dollar
RevPAR_Luxury,2016-09-01,296.9,outcome,class,dollar
RevPAR_Luxury,2016-10-01,305.24,outcome,class,dollar
RevPAR_Luxury,2016-11-01,327.43,outcome,class,dollar
RevPAR_Luxury,2016-12-01,514.05,outcome,class,dollar
RevPAR_Luxury,2017-01-01,425.86,outcome,class,dollar
RevPAR_Luxury,2017-02-01,412.37,outcome,class,dollar
RevPAR_Luxury,2017-03-01,415.15,outcome,class,dollar
RevPAR_Luxury,2017-04-01,392.53,outcome,class,dollar
RevPAR_Luxury,2017-05-01,330.91,outcome,class,dollar
RevPAR_Luxury,2017-06-01,393.83,outcome,class,dollar
RevPAR_Luxury,2017-07-01,445.23,outcome,class,dollar
RevPAR_Luxury,2017-08-01,423.45,outcome,class,dollar
RevPAR_Luxury,2017-09-01,300.05,outcome,class,dollar
RevPAR_Luxury,2017-10-01,322.76,outcome,class,dollar
RevPAR_Luxury,2017-11-01,349.7,outcome,class,dollar
RevPAR_Luxury,2017-12-01,532.94,outcome,class,dollar
RevPAR_Luxury,2018-01-01,474.69,outcome,class,dollar
RevPAR_Luxury,2018-02-01,477.25,outcome,class,dollar
RevPAR_Luxury,2018-03-01,474.8,outcome,class,dollar
RevPAR_Luxury,2018-04-01,413.66,outcome,class,dollar
RevPAR_Luxury,2018-05-01,364.28,outcome,class,dollar
RevPAR_Luxury,2018-06-01,400.69,outcome,class,dollar
RevPAR_Luxury,2018-07-01,454.68,outcome,class,dollar
RevPAR_Luxury,2018-08-01,407.45,outcome,class,dollar
RevPAR_Luxury,2018-09-01,299.46,outcome,class,dollar
RevPAR_Luxury,2018-10-01,331.42,outcome,class,dollar
RevPAR_Luxury,2018-11-01,357.66,outcome,class,dollar
RevPAR_Luxury,2018-12-01,525.78,outcome,class,dollar
RevPAR_Luxury,2019-01-01,445.16,outcome,class,dollar
RevPAR_Luxury,2019-02-01,447.27,outcome,class,dollar
RevPAR_Luxury,2019-03-01,442.82,outcome,class,dollar
RevPAR_Luxury,2019-04-01,422.21,outcome,class,dollar
RevPAR_Luxury,2019-05-01,361.77,outcome,class,dollar
RevPAR_Luxury,2019-06-01,442.99,outcome,class,dollar
RevPAR_Luxury,2019-07-01,505.75,outcome,class,dollar
RevPAR_Luxury,2019-08-01,469.19,outcome,class,dollar
RevPAR_Luxury,2019-09-01,329.03,outcome,class,dollar
RevPAR_Luxury,2019-10-01,349.26,outcome,class,dollar
RevPAR_Luxury,2019-11-01,370.72,outcome,class,dollar
RevPAR_Luxury,2019-12-01,582.35,outcome,class,dollar
RevPAR_Luxury,2020-01-01,493.47,outcome,class,dollar
RevPAR_Luxury,2020-02-01,486.4,outcome,class,dollar
RevPAR_Luxury,2020-03-01,219.31,outcome,class,dollar
RevPAR_Luxury,2020-05-01,13.18,outcome,class,dollar
RevPAR_Luxury,2020-06-01,26.47,outcome,class,dollar
RevPAR_Luxury,2020-07-01,40.46,outcome,class,dollar
RevPAR_Luxury,2020-08-01,10.33,outcome,class,dollar
RevPAR_Luxury,2020-09-01,14.94,outcome,class,dollar
RevPAR_Luxury,2020-10-01,56.87,outcome,class,dollar
RevPAR_Luxury,2020-11-01,95.31,outcome,class,dollar
RevPAR_Luxury,2020-12-01,168.44,outcome,class,dollar
RevPAR_Luxury,2021-01-01,134.85,outcome,class,dollar
RevPAR_Luxury,2021-02-01,188.34,outcome,class,dollar
RevPAR_Luxury,2021-03-01,296.55,outcome,class,dollar
RevPAR_Luxury,2021-04-01,334.73,outcome,class,dollar
RevPAR_Luxury,2021-05-01,353.79,outcome,class,dollar
RevPAR_Luxury,2021-06-01,529.54,outcome,class,dollar
RevPAR_Luxury,2021-07-01,598.91,outcome,class,dollar
RevPAR_Luxury,2021-08-01,532.96,outcome,class,dollar
RevPAR_Luxury,2021-09-01,308.06,outcome,class,dollar
RevPAR_Luxury,2021-10-01,309.41,outcome,class,dollar
RevPAR_Luxury,2021-11-01,416.6,outcome,class,dollar
RevPAR_Luxury,2021-12-01,626.76,outcome,class,dollar
RevPAR_Luxury,2022-01-01,427.28,outcome,class,dollar
RevPAR_Luxury,2022-02-01,472.06,outcome,class,dollar
RevPAR_Luxury,2022-03-01,536.53,outcome,class,dollar
RevPAR_Luxury,2022-04-01,548.1,outcome,class,dollar
RevPAR_Luxury,2022-05-01,453.56,outcome,class,dollar
RevPAR_Luxury,2022-06-01,545.85,outcome,class,dollar
RevPAR_Luxury,2022-07-01,599.23,outcome,class,dollar
RevPAR_Luxury,2022-08-01,537.58,outcome,class,dollar
RevPAR_Luxury,2022-09-01,402.6,outcome,class,dollar
RevPAR_Luxury,2022-10-01,401.31,outcome,class,dollar
RevPAR_Luxury,2022-11-01,448.71,outcome,class,dollar
