unit,time,y,role,group
Financial_Emp,1991-01-01,2.9508196721311557,donor,insulated
Financial_Emp,1991-02-01,1.954397394136809,donor,insulated
Financial_Emp,1991-03-01,1.6129032258064502,donor,insulated
Financial_Emp,1991-04-01,1.6233766233766156,donor,insulated
Financial_Emp,1991-05-01,0.9646302250803762,donor,insulated
Financial_Emp,1991-06-01,0.0,donor,insulated
Financial_Emp,1991-07-01,-0.3144654088050314,donor,insulated
Financial_Emp,1991-08-01,-0.6249999999999978,donor,insulated
Financial_Emp,1991-09-01,-0.943396226415094,donor,insulated
Financial_Emp,1991-10-01,-1.253918495297801,donor,insulated
Financial_Emp,1991-11-01,-0.313479623824453,donor,insulated
Financial_Emp,1991-12-01,0.0,donor,insulated
Financial_Emp,1992-01-01,-1.9108280254777064,donor,insulated
Financial_Emp,1992-02-01,-0.9584664536741228,donor,insulated
Financial_Emp,1992-03-01,-0.952380952380949,donor,insulated
Financial_Emp,1992-04-01,-0.9584664536741228,donor,insulated
Financial_Emp,1992-05-01,-1.273885350318471,donor,insulated
Financial_Emp,1992-06-01,-1.2658227848101222,donor,insulated
Financial_Emp,1992-07-01,-1.577287066246058,donor,insulated
Financial_Emp,1992-08-01,-1.5723270440251569,donor,insulated
Financial_Emp,1992-09-01,-0.6349206349206327,donor,insulated
Financial_Emp,1992-10-01,-0.3174603174603163,donor,insulated
Financial_Emp,1992-11-01,-1.5723270440251569,donor,insulated
Financial_Emp,1992-12-01,-1.2461059190031154,donor,insulated
Financial_Emp,1993-01-01,2.922077922077926,donor,insulated
Financial_Emp,1993-02-01,2.9032258064516148,donor,insulated
Financial_Emp,1993-03-01,2.8846153846153744,donor,insulated
Financial_Emp,1993-04-01,3.8709677419354938,donor,insulated
Financial_Emp,1993-05-01,4.193548387096757,donor,insulated
Financial_Emp,1993-06-01,4.166666666666674,donor,insulated
Financial_Emp,1993-07-01,4.166666666666674,donor,insulated
Financial_Emp,1993-08-01,3.833865814696491,donor,insulated
Financial_Emp,1993-09-01,3.514376996805102,donor,insulated
Financial_Emp,1993-10-01,2.5477707006369643,donor,insulated
Financial_Emp,1993-11-01,3.514376996805102,donor,insulated
Financial_Emp,1993-12-01,2.5236593059936974,donor,insulated
Financial_Emp,1994-01-01,2.5236593059936974,donor,insulated
Financial_Emp,1994-02-01,2.5078369905956244,donor,insulated
Financial_Emp,1994-03-01,1.8691588785046955,donor,insulated
Financial_Emp,1994-04-01,-1.552795031055909,donor,insulated
Financial_Emp,1994-05-01,-2.1671826625386914,donor,insulated
Financial_Emp,1994-06-01,-2.15384615384615,donor,insulated
Financial_Emp,1994-07-01,-2.15384615384615,donor,insulated
Financial_Emp,1994-08-01,-2.15384615384615,donor,insulated
Financial_Emp,1994-09-01,-1.5432098765432056,donor,insulated
Financial_Emp,1994-10-01,-2.484472049689457,donor,insulated
Financial_Emp,1994-11-01,-3.0864197530864224,donor,insulated
Financial_Emp,1994-12-01,-3.384615384615386,donor,insulated
Financial_Emp,1995-01-01,-4.923076923076919,donor,insulated
Financial_Emp,1995-02-01,-5.198776758409796,donor,insulated
Financial_Emp,1995-03-01,-4.892966360856277,donor,insulated
Financial_Emp,1995-04-01,-2.8391167192429068,donor,insulated
Financial_Emp,1995-05-01,-2.531645569620256,donor,insulated
Financial_Emp,1995-06-01,-2.8301886792452824,donor,insulated
Financial_Emp,1995-07-01,-3.773584905660377,donor,insulated
Financial_Emp,1995-08-01,-2.20125786163522,donor,insulated
Financial_Emp,1995-09-01,-2.8213166144200663,donor,insulated
Financial_Emp,1995-10-01,-1.9108280254777064,donor,insulated
Financial_Emp,1995-11-01,-1.5923566878980888,donor,insulated
Financial_Emp,1995-12-01,-1.9108280254777064,donor,insulated
Financial_Emp,1996-01-01,-0.9708737864077666,donor,insulated
Financial_Emp,1996-02-01,-0.3225806451612856,donor,insulated
Financial_Emp,1996-03-01,-0.3215434083601254,donor,insulated
Financial_Emp,1996-04-01,-0.649350649350644,donor,insulated
Financial_Emp,1996-05-01,-0.3246753246753275,donor,insulated
Financial_Emp,1996-06-01,-0.6472491909385147,donor,insulated
Financial_Emp,1996-07-01,0.0,donor,insulated
Financial_Emp,1996-08-01,-1.2861736334405127,donor,insulated
Financial_Emp,1996-09-01,-0.6451612903225823,donor,insulated
Financial_Emp,1996-10-01,-1.9480519480519431,donor,insulated
Financial_Emp,1996-11-01,-1.2944983818770184,donor,insulated
Financial_Emp,1996-12-01,-0.3246753246753275,donor,insulated
Financial_Emp,1997-01-01,-0.6535947712418277,donor,insulated
Financial_Emp,1997-02-01,-0.9708737864077666,donor,insulated
Financial_Emp,1997-03-01,-0.6451612903225823,donor,insulated
Financial_Emp,1997-04-01,-1.3071895424836557,donor,insulated
Financial_Emp,1997-05-01,-1.6286644951140072,donor,insulated
Financial_Emp,1997-06-01,-1.6286644951140072,donor,insulated
Financial_Emp,1997-07-01,-1.6339869281045805,donor,insulated
Financial_Emp,1997-08-01,-1.954397394136809,donor,insulated
Financial_Emp,1997-09-01,-1.9480519480519431,donor,insulated
Financial_Emp,1997-10-01,-1.655629139072845,donor,insulated
Financial_Emp,1997-11-01,-2.2950819672131195,donor,insulated
Financial_Emp,1997-12-01,-1.3029315960912058,donor,insulated
Financial_Emp,1998-01-01,-1.3157894736842146,donor,insulated
Financial_Emp,1998-02-01,-2.614379084967322,donor,insulated
Financial_Emp,1998-03-01,-2.2727272727272707,donor,insulated
Financial_Emp,1998-04-01,-0.6622516556291425,donor,insulated
Financial_Emp,1998-05-01,-0.6622516556291425,donor,insulated
Financial_Emp,1998-06-01,-0.3311258278145712,donor,insulated
Financial_Emp,1998-07-01,0.9966777408637828,donor,insulated
Financial_Emp,1998-08-01,0.9966777408637828,donor,insulated
Financial_Emp,1998-09-01,0.3311258278145601,donor,insulated
Financial_Emp,1998-10-01,1.346801346801341,donor,insulated
Financial_Emp,1998-11-01,1.6778523489932915,donor,insulated
Financial_Emp,1998-12-01,0.660066006600668,donor,insulated
Financial_Emp,1999-01-01,-0.666666666666671,donor,insulated
Financial_Emp,1999-02-01,0.6711409395973256,donor,insulated
Financial_Emp,1999-03-01,-0.3322259136212646,donor,insulated
Financial_Emp,1999-04-01,-0.3333333333333299,donor,insulated
Financial_Emp,1999-05-01,-0.666666666666671,donor,insulated
Financial_Emp,1999-06-01,-0.3322259136212646,donor,insulated
Financial_Emp,1999-07-01,-2.631578947368418,donor,insulated
Financial_Emp,1999-08-01,-2.960526315789469,donor,insulated
Financial_Emp,1999-09-01,-2.970297029702973,donor,insulated
Financial_Emp,1999-10-01,-2.657807308970095,donor,insulated
Financial_Emp,1999-11-01,-3.63036303630363,donor,insulated
Financial_Emp,1999-12-01,-3.278688524590168,donor,insulated
Financial_Emp,2000-01-01,-3.691275167785235,donor,insulated
Financial_Emp,2000-02-01,-3.6666666666666634,donor,insulated
Financial_Emp,2000-03-01,-3.6666666666666634,donor,insulated
Financial_Emp,2000-04-01,-4.013377926421402,donor,insulated
Financial_Emp,2000-05-01,-3.691275167785235,donor,insulated
Financial_Emp,2000-06-01,-3.6666666666666634,donor,insulated
Financial_Emp,2000-07-01,-2.0270270270270285,donor,insulated
Financial_Emp,2000-08-01,-1.6949152542372836,donor,insulated
Financial_Emp,2000-09-01,-2.0408163265306145,donor,insulated
Financial_Emp,2000-10-01,-1.7064846416382284,donor,insulated
Financial_Emp,2000-11-01,-1.7123287671232834,donor,insulated
Financial_Emp,2000-12-01,-1.016949152542368,donor,insulated
Financial_Emp,2001-01-01,-1.0452961672473893,donor,insulated
Financial_Emp,2001-02-01,-1.384083044982698,donor,insulated
Financial_Emp,2001-03-01,-0.692041522491349,donor,insulated
Financial_Emp,2001-04-01,-0.6968641114982632,donor,insulated
Financial_Emp,2001-05-01,-0.6968641114982632,donor,insulated
Financial_Emp,2001-06-01,-1.038062283737029,donor,insulated
Financial_Emp,2001-07-01,-2.0689655172413834,donor,insulated
Financial_Emp,2001-08-01,-2.0689655172413834,donor,insulated
