time,unit,cases,deaths,temp,mob
2020-02-15,Alabama,0.0,0.0,63.41492537313433,136.69
2020-02-16,Alabama,0.0,0.0,63.41492537313433,97.66
2020-02-17,Alabama,0.0,0.0,63.41492537313433,113.36
2020-02-18,Alabama,0.0,0.0,63.41492537313433,108.61
2020-02-19,Alabama,0.0,0.0,63.41492537313433,112.41
2020-02-20,Alabama,0.0,0.0,63.41492537313433,116.53
2020-02-21,Alabama,0.0,0.0,63.41492537313433,148.9
2020-02-22,Alabama,0.0,0.0,63.41492537313433,141.79
2020-02-23,Alabama,0.0,0.0,63.41492537313433,100.77
2020-02-24,Alabama,0.0,0.0,63.41492537313433,109.77
2020-02-25,Alabama,0.0,0.0,63.41492537313433,115.64
2020-02-26,Alabama,0.0,0.0,63.41492537313433,116.12
2020-02-27,Alabama,0.0,0.0,63.41492537313433,125.69
2020-02-28,Alabama,0.0,0.0,63.41492537313433,152.84
2020-02-29,Alabama,0.0,0.0,63.41492537313433,149.38
2020-03-01,Alabama,0.0,0.0,63.41492537313433,104.53
2020-03-02,Alabama,0.0,0.0,63.41492537313433,110.73
2020-03-03,Alabama,0.0,0.0,63.41492537313433,115.38
2020-03-04,Alabama,0.0,0.0,63.41492537313433,110.9
2020-03-05,Alabama,0.0,0.0,63.41492537313433,124.09
2020-03-06,Alabama,0.0,0.0,63.41492537313433,157.82
2020-03-07,Alabama,0.0,0.0,63.41492537313433,158.73
2020-03-08,Alabama,0.0,0.0,63.41492537313433,109.85
2020-03-09,Alabama,0.0,0.0,63.41492537313433,119.48
2020-03-10,Alabama,0.0,0.0,63.41492537313433,119.23
2020-03-11,Alabama,0.0,0.0,63.41492537313433,119.83
2020-03-12,Alabama,0.0,0.0,63.41492537313433,129.93
2020-03-13,Alabama,6.0,0.0,63.41492537313433,143.13
2020-03-14,Alabama,12.0,0.0,63.41492537313433,139.87
2020-03-15,Alabama,23.0,0.0,63.41492537313433,94.6
2020-03-16,Alabama,29.0,0.0,62.93880597014925,101.37
2020-03-17,Alabama,39.0,0.0,66.00298507462686,94.06
2020-03-18,Alabama,51.0,0.0,68.44477611940299,91.95
2020-03-19,Alabama,78.0,0.0,71.29850746268657,91.01
2020-03-20,Alabama,106.0,0.0,69.76268656716418,96.05
2020-03-21,Alabama,131.0,0.0,60.05223880597015,80.87
2020-03-22,Alabama,157.0,0.0,58.223880597014926,56.34
2020-03-23,Alabama,196.0,0.0,66.17164179104478,68.01
2020-03-24,Alabama,242.0,0.0,70.45373134328358,70.35
2020-03-25,Alabama,386.0,1.0,67.2134328358209,74.9
2020-03-26,Alabama,538.0,3.0,69.22835820895523,77.58
2020-03-27,Alabama,639.0,4.0,73.25671641791044,83.93
2020-03-28,Alabama,720.0,4.0,74.83880597014925,73.09
2020-03-29,Alabama,830.0,5.0,70.4089552238806,55.39
2020-03-30,Alabama,947.0,11.0,65.05223880597015,69.87
2020-03-31,Alabama,999.0,14.0,56.95522388059702,65.71
2020-04-01,Alabama,1108.0,28.0,53.93134328358209,72.21
2020-04-02,Alabama,1270.0,32.0,55.832835820895525,74.02
2020-04-03,Alabama,1535.0,38.0,61.35671641791044,81.15
2020-04-04,Alabama,1632.0,44.0,66.0865671641791,63.88
2020-04-05,Alabama,1840.0,45.0,67.91492537313434,47.43
2020-04-06,Alabama,2005.0,53.0,69.07761194029851,66.24
2020-04-07,Alabama,2197.0,64.0,67.13880597014925,64.79
2020-04-08,Alabama,2498.0,67.0,71.49850746268656,67.16
2020-04-09,Alabama,2838.0,78.0,70.37462686567164,74.06
2020-04-10,Alabama,3008.0,80.0,55.84029850746269,81.02
2020-04-11,Alabama,3262.0,93.0,56.497014925373136,70.31
2020-04-12,Alabama,3583.0,93.0,65.64776119402984,38.02
2020-04-13,Alabama,3805.0,104.0,61.155223880597006,73.6
2020-04-14,Alabama,3953.0,114.0,55.37910447761194,76.29
2020-04-15,Alabama,4241.0,123.0,51.42388059701493,80.49
2020-04-16,Alabama,4404.0,137.0,54.940298507462686,84.27
2020-04-17,Alabama,4572.0,151.0,62.89253731343284,93.82
2020-04-18,Alabama,4723.0,147.0,62.60298507462686,83.72
2020-04-19,Alabama,4903.0,160.0,60.02089552238806,53.0
2020-04-20,Alabama,5078.0,164.0,62.55074626865671,85.85
2020-04-21,Alabama,5327.0,186.0,63.516417910447764,86.77
2020-04-22,Alabama,5610.0,201.0,60.80298507462687,86.64
2020-04-23,Alabama,5832.0,197.0,62.973134328358206,77.99
2020-04-24,Alabama,6026.0,209.0,64.53134328358209,103.96
2020-04-25,Alabama,6213.0,213.0,66.97014925373135,91.72
2020-04-26,Alabama,6421.0,219.0,60.007462686567166,71.99
2020-04-27,Alabama,6539.0,228.0,58.87313432835821,89.64
2020-04-28,Alabama,6750.0,242.0,66.32686567164178,92.04
2020-04-29,Alabama,6925.0,262.0,65.12537313432836,85.27
2020-04-30,Alabama,7068.0,272.0,59.855223880597016,102.2
2020-05-01,Alabama,7294.0,289.0,62.30298507462687,119.89
2020-05-02,Alabama,7611.0,288.0,67.49850746268656,110.38
2020-05-03,Alabama,7888.0,290.0,70.15074626865672,88.34
2020-05-04,Alabama,8112.0,298.0,72.42089552238805,104.61
2020-05-05,Alabama,8437.0,315.0,71.22388059701493,106.75
